House_Rep_Name,House_Rep_Party,House_Rep_State,House_Rep_Vote
Adams,D,NC,Yea
Aderholt,R,AL,Yea
Aguilar,D,CA,Yea
Alford,R,MO,Yea
Allen,R,GA,Yea
Amo,D,RI,Yea
Amodei (NV),R,NV,Yea
Ansari,D,AZ,Yea
Arrington,R,TX,Yea
Auchincloss,D,MA,Yea
Babin,R,TX,Yea
Bacon,R,NE,Yea
Baird,R,IN,Yea
Balderson,R,OH,Yea
Balint,D,VT,Yea
Barr,R,KY,Yea
Barragán,D,CA,Yea
Barrett,R,MI,Yea
Baumgartner,R,WA,Yea
Bean (FL),R,FL,Nay
Beatty,D,OH,Yea
Begich,R,AK,Yea
Bell,D,MO,Yea
Bentz,R,OR,Yea
Bera,D,CA,Yea
Bergman,R,MI,Yea
Beyer,D,VA,Yea
Bice,R,OK,Yea
Biggs (AZ),R,AZ,Nay
Biggs (SC),R,SC,Yea
Bilirakis,R,FL,Yea
Bishop,D,GA,Yea
Boebert,R,CO,Nay
Bonamici,D,OR,Yea
Bost,R,IL,Yea
Boyle (PA),D,PA,Yea
Brecheen,R,OK,Yea
Bresnahan,R,PA,Yea
Brown,D,OH,Yea
Brownley,D,CA,Yea
Buchanan,R,FL,Not Voting
Budzinski,D,IL,Yea
Burchett,R,TN,Nay
Burlison,R,MO,Yea
Bynum,D,OR,Yea
Calvert,R,CA,Yea
Cammack,R,FL,Yea
Carbajal,D,CA,Yea
Carey,R,OH,Yea
Carson,D,IN,Yea
Carter (GA),R,GA,Yea
Carter (LA),D,LA,Yea
Carter (TX),R,TX,Yea
Casar,D,TX,Yea
Case,D,HI,Yea
Casten,D,IL,Yea
Castor (FL),D,FL,Yea
Castro (TX),D,TX,Yea
Cherfilus-McCormick,D,FL,Yea
Chu,D,CA,Yea
Ciscomani,R,AZ,Yea
Cisneros,D,CA,Yea
Clark (MA),D,MA,Yea
Clarke (NY),D,NY,Yea
Cleaver,D,MO,Yea
Cline,R,VA,Yea
Cloud,R,TX,Yea
Clyburn,D,SC,Yea
Clyde,R,GA,Nay
Cohen,D,TN,Yea
Cole,R,OK,Yea
Collins,R,GA,Yea
Comer,R,KY,Yea
Conaway,D,NJ,Yea
Connolly,D,VA,Yea
Correa,D,CA,Yea
Costa,D,CA,Yea
Courtney,D,CT,Yea
Craig,D,MN,Yea
Crane,R,AZ,Nay
Crank,R,CO,Yea
Crawford,R,AR,Yea
Crenshaw,R,TX,Yea
Crockett,D,TX,Yea
Crow,D,CO,Yea
Cuellar,D,TX,Yea
Davids (KS),D,KS,Yea
Davidson,R,OH,Yea
Davis (IL),D,IL,Yea
Davis (NC),D,NC,Yea
De La Cruz,R,TX,Yea
Dean (PA),D,PA,Yea
DeGette,D,CO,Yea
DeLauro,D,CT,Yea
