House_Rep_Name,House_Rep_Party,House_Rep_State,House_Rep_Vote,RepYeaPct,RepNayPct,DemYeaPct,DemNayPct
Adams,D,NC,Nay,96.8,0.5,0.5,96.3
Aderholt,R,AL,Yea,96.8,0.5,0.5,96.3
Aguilar,D,CA,Nay,96.8,0.5,0.5,96.3
Alford,R,MO,Yea,96.8,0.5,0.5,96.3
Allen,R,GA,Yea,96.8,0.5,0.5,96.3
Amo,D,RI,Nay,96.8,0.5,0.5,96.3
Amodei (NV),R,NV,Yea,96.8,0.5,0.5,96.3
Ansari,D,AZ,Nay,96.8,0.5,0.5,96.3
Arrington,R,TX,Yea,96.8,0.5,0.5,96.3
Auchincloss,D,MA,Nay,96.8,0.5,0.5,96.3
Babin,R,TX,Yea,96.8,0.5,0.5,96.3
Bacon,R,NE,Yea,96.8,0.5,0.5,96.3
Baird,R,IN,Yea,96.8,0.5,0.5,96.3
Balderson,R,OH,Yea,96.8,0.5,0.5,96.3
Balint,D,VT,Nay,96.8,0.5,0.5,96.3
Barr,R,KY,Yea,96.8,0.5,0.5,96.3
Barragán,D,CA,Nay,96.8,0.5,0.5,96.3
Barrett,R,MI,Yea,96.8,0.5,0.5,96.3
Baumgartner,R,WA,Yea,96.8,0.5,0.5,96.3
Bean (FL),R,FL,Yea,96.8,0.5,0.5,96.3
Beatty,D,OH,Nay,96.8,0.5,0.5,96.3
Begich,R,AK,Yea,96.8,0.5,0.5,96.3
Bell,D,MO,Nay,96.8,0.5,0.5,96.3
Bentz,R,OR,Yea,96.8,0.5,0.5,96.3
Bera,D,CA,Nay,96.8,0.5,0.5,96.3
Bergman,R,MI,Yea,96.8,0.5,0.5,96.3
Beyer,D,VA,Nay,96.8,0.5,0.5,96.3
Bice,R,OK,Yea,96.8,0.5,0.5,96.3
Biggs (AZ),R,AZ,Yea,96.8,0.5,0.5,96.3
Biggs (SC),R,SC,Yea,96.8,0.5,0.5,96.3
Bilirakis,R,FL,Yea,96.8,0.5,0.5,96.3
Bishop,D,GA,Nay,96.8,0.5,0.5,96.3
Boebert,R,CO,Yea,96.8,0.5,0.5,96.3
Bonamici,D,OR,Nay,96.8,0.5,0.5,96.3
Bost,R,IL,Yea,96.8,0.5,0.5,96.3
Boyle (PA),D,PA,Nay,96.8,0.5,0.5,96.3
Brecheen,R,OK,Yea,96.8,0.5,0.5,96.3
Bresnahan,R,PA,Yea,96.8,0.5,0.5,96.3
Brown,D,OH,Nay,96.8,0.5,0.5,96.3
Brownley,D,CA,Nay,96.8,0.5,0.5,96.3
Buchanan,R,FL,Yea,96.8,0.5,0.5,96.3
Budzinski,D,IL,Nay,96.8,0.5,0.5,96.3
Burchett,R,TN,Yea,96.8,0.5,0.5,96.3
Burlison,R,MO,Yea,96.8,0.5,0.5,96.3
Bynum,D,OR,Nay,96.8,0.5,0.5,96.3
Calvert,R,CA,Yea,96.8,0.5,0.5,96.3
Cammack,R,FL,Yea,96.8,0.5,0.5,96.3
Carbajal,D,CA,Nay,96.8,0.5,0.5,96.3
Carey,R,OH,Yea,96.8,0.5,0.5,96.3
Carson,D,IN,Nay,96.8,0.5,0.5,96.3
Carter (GA),R,GA,Yea,96.8,0.5,0.5,96.3
Carter (LA),D,LA,Nay,96.8,0.5,0.5,96.3
Carter (TX),R,TX,Yea,96.8,0.5,0.5,96.3
Casar,D,TX,Nay,96.8,0.5,0.5,96.3
Case,D,HI,Nay,96.8,0.5,0.5,96.3
Casten,D,IL,Nay,96.8,0.5,0.5,96.3
Castor (FL),D,FL,Nay,96.8,0.5,0.5,96.3
